,Date,Messages
467,2021-05-07,"well you give me hope........

it does suck if doge dumps tomorrow and i cannot get off the pump "
468,2021-05-07,locked market logos shiba inr :smiling_face_with_smiling_eyes: 
469,2021-05-07,shibaa to buy not late 
471,2021-05-07,any update about doge ? 
472,2021-05-07,"hi crypto team, i want to move my doge coin to external wallet which is trust wallet. i want to move 100 doge coiny but you are charging me a fee of 50 doge coin. why fee is so high? it does not make any sense "
473,2021-05-07,"do not buy the one person who hhs 26,000,000,000 worth of it is going to kill that market after it brakes 1$ buy fly idp if it is on here yet but it is 2 month old and 1/3 it is value franklin aka fly to fly to a benjamin franklin with doge coiny money "
474,2021-05-07,doge to the monodon 
475,2021-05-07,do not buy yet until saturday because investor keep on switching from doge to etf classic then etf classic to doge 
476,2021-05-07,from the doge 
477,2021-05-07,dogedom mars will make me multimillionaire 
478,2021-05-07,its dogedom mars look for $elon coinmaker and confect 
479,2021-05-07,oh. i do not usually buy meme coiny but I have been thinking about it because the doge thing is so trendy. so what is the story behind dogedom mars ? 
480,2021-05-07,dogedom got listed on blockholer few days ago too 
481,2021-05-07,its basically a crypto that loos and sound better than doge but also people that missed the dogecoin train are jumping it 
482,2021-05-07,"oh nice. but i heard that those dog coiny have a lot of ruga and scams. I am sure you have done your research, but sorry I am still new to crypto .. how do i know that dogedom coin is legit ? "
483,2021-05-07,you guts are also into dogelon? i saw the first nat sold for 14 etf 
484,2021-05-07,"yes dogedom is legit, 220k on ig 20k on twitter and 25k on telegram ... big community "
485,2021-05-07,my bad ... is dogedom listed on crypto.com ? 
486,2021-05-07,where did everyone hear about that dogedom coin? I have never heard of it until tonight in here 
487,2021-05-07,"greeting to all! anyone known about the highest price prediction of doge coin, and what price range we should order to sell it? "
488,2021-05-07,I am holding doge 
489,2021-05-07,"i feel like doge will go for a long time, it is here to stay. "
490,2021-05-07,i have some doge but it is just because my sister sent me some as a joke 
491,2021-05-07,i should ask her about that dogedom coin .. what is the ticker ? 
492,2021-05-07,$elon is the ticker for dogedom 
493,2021-05-07,can you please list dogedom 
494,2021-05-07,"so i went to the dogedom twitter and they keep talking about mars, so weird loa ... is it like a joke or something? "
495,2021-05-07,can someone list dogedom mars 
496,2021-05-07,"yo fellas, do you know anything about a dogelon? "
497,2021-05-07,doge flew uup 
498,2021-05-07,i was inerring about a dogedom coin 
499,2021-05-07,see dogecoin movement 
500,2021-05-07,except doge 
501,2021-05-07,what do you think guys? up_to which price doge will go? 
502,2021-05-07,doge $10? 
503,2021-05-07,sec? on sushiswap. or you talking about doge? 
504,2021-05-07,what about doge?? 
505,2021-05-07,"trade dogecoin in the crypto.com app and enter to win a share of ust $100,000 in doge

:trophy:10 winner selected weekly
:spiral_calendar:two weeds left

:paw_prints:we are also giving away 5 edition of morysetta's doge nft

details:  "
506,2021-05-07,when will doge reach 85$? 
507,2021-05-07,guts doge hhs reacher .71 ust 
508,2021-05-07,big breakout soon in #doge fatly leave 12:30 
509,2021-05-07,yeah :fire:. are you holding doge? 
510,2021-05-07,I am holing a lot of doge so as you know today is a critical day and i do not know how it is a coincidence this haptene all of a sudden 
511,2021-05-07,what is better dogecoin or etc? 
512,2021-05-07,should we buy dogecoin as it may soon touch $5 
513,2021-05-08,"the day dogecoin goes through the roof, what a coincidence "
514,2021-05-08,dogecoin will raise or in a month?? 
515,2021-05-08,doge ka kyat rache 
516,2021-05-08,i am trying to transfer dogecoins to binance. it tell me the fee is 50 dogecoins but i try to transfer i am losing another 30 to 40 dogecoins on the top of fee of 50 dogecoins in the process. why is that? 
517,2021-05-08,what about dogecoin prediction 
518,2021-05-08,okay why crypto.com is charging more than asking fee of 50 dogecoins when i try to transfer my dogecoins to another platform???? 
519,2021-05-08,is dogecoin reach 1 dollar today? 
520,2021-05-08,doge coin will run through our venus (in the future) 
521,2021-05-08,"hi, my mobile app hhs a different amount on supercharger than the desktop exchange app. i sold the doge, and bought some cro. how can i sync them ? i want to see a single amount on the supercharger. how can i do it ? "
522,2021-05-08,doge coin continue rising. what about this 
523,2021-05-08,doge hi doge hone vali hao 
524,2021-05-08,what will doge all time high be in this month ?? 
525,2021-05-08,"hello, can someone explan:

in the doge treat extravaganza - ust 500,000 in doge prizes!

if i have 50k doge in the crypto.com exchange and buy via app the 100usd and also transfer them to crypto.com exchange.

do i participate and it will be counter correctly

or must the deposit and all haptene in the app? "
526,2021-05-08,"me too , many of them offering me to invest in dogecoin :man_facepalming: "
527,2021-05-08,"you need to buy or sell 100 ust worth of doge in one go, you can transfer it to the exchange after that :) "
528,2021-05-08,should i sell doge 
529,2021-05-08,i want to ask can i swap etf for doge in trust wallet? 
530,2021-05-08,no you cannot however you can swap bud to doge in trust wallet 
531,2021-05-08,"i have eth. i need doge 
what will i do
I am using trust wallet "
532,2021-05-08,bring the etf in crypto.com and then buy doge with etf 
533,2021-05-08,guts what do i have to do to enter the 100.000 ust competition? do i have to complete any survey or just buying doge 
534,2021-05-08,where hhs shiba gone of crypto.com 
535,2021-05-08,can i buy shiba in app? 
536,2021-05-08,"fetch some #shib :bone:
 :paw_prints:
 :paw_prints:
 :paw_prints:
get the app to start trading
:backhand_index_pointing_right: crypto.onelink.me/j9lg/6fd5d39 "
537,2021-05-08,how to buy shiba on crypto.com 
538,2021-05-08,i got msg toat shiba inr listed on app start trading in app. when open app it shoes data but does not allow you to buy shiba inu? 
539,2021-05-08,can i buy #shib on crypto.com? 
540,2021-05-08,i am the same i cannot see a button to buy shiba 
541,2021-05-08,holy cow cdc listed shib! :drooling_face::red_heart: 
542,2021-05-08,shiba now available on crypto :rocket::rocket::rocket: 
543,2021-05-08,i think england banks are investing in doge:face_with_tears_of_joy: 
544,2021-05-08,yea shib works now for me too 
545,2021-05-08,how did you make shiba work? is it available only to customer in some countries? 
546,2021-05-08,why cannot buy shib 
547,2021-05-08,cannot buy shiba in uk?? 
548,2021-05-08,yes now you can buy shiba 
549,2021-05-08,buy shiba guts 
550,2021-05-08,is the shiba inr available to buy in the usa? 
551,2021-05-08,which coin should buy except doge 
552,2021-05-08,is the shiba inr available to buy in the usa? 
553,2021-05-08,everyone buy shiba and let us pump this baby :rocket::rocket::rocket::rocket: 
554,2021-05-08,is the shiba inr available to buy in the usa? i am not able to buy in the app. 
555,2021-05-08,the money of doge will go back to btc 
556,2021-05-08,"attention all holder of doge! 

do not forget to setup your stop loss and be aware of the loss what you can make tonight! i have set mine and do so every 0.07 cent to gain en not to lose! my plan is to step out during the interview ... because there is a great chance that doge will fall back to less then .30! i will replace my investment during the fall en wid hold xrp. 

it is only advise do with it what ever you want. "
557,2021-05-08,i cannot buy shiba. 
558,2021-05-08,shiba :chart_increasing::bomb::four_leaf_clover::rocket: 
559,2021-05-08,now you can buy shiba 
560,2021-05-08,the time hhs arrive to say goodbye to cro. i have made profit from the doge i received from the supercharger event than the cro i have been holing since aug 2020. cheers! 
561,2021-05-08,I am tunna buy doge 
562,2021-05-08,still cannot buy shiba 
563,2021-05-08,what??? shiba on crypto.com?? 
564,2021-05-08,you can check shib status over there but cannot buy right now 
565,2021-05-08,still cannot see shiba on app 
566,2021-05-08,but this so huge 300% increased in 16 hours #shib 
567,2021-05-08,maybe when shiba hoer to top 20 they list it :face_with_tears_of_joy: 
568,2021-05-08,there is shiba 
569,2021-05-08,click on track than type shib 
570,2021-05-08,"why are crypto.com prompting things like shiba inub, pump and dump meme coiny "
571,2021-05-08,"please @crypto team

list the shib right now "
572,2021-05-08,shiba is going to be madam 
573,2021-05-08,you mean shiba? 
574,2021-05-08,where can i get shiba? 
575,2021-05-08,please can anyone tell me how to buy shiba on crypto.com please i like in the uk. 
576,2021-05-08,"money is literally bleeding from real project to buy a meme coin. this world is backwards, you should all understand what the hell you are doing to the crypto space buying this rubbish.
once these coiny dump and people as a collective lose billions, crypto will gain a bad name for the sake of mindless zombie buyer so good luck with your shiba inr "
577,2021-05-08,please can anyone tell me how to buy shiba on crypto.com please i like in the uk. 
578,2021-05-08,you can use a contract address to get shiba 
579,2021-05-08,i bought shiba just now on the cro app but it took my order twice and taxed me twice as well 
580,2021-05-08,"hello, can someone tell me why i cannot buy shib? "
581,2021-05-08,"seem like no shiba in crypto.com, stop with the shib question "
582,2021-05-08,"so no, we cannot buy shiba "
583,2021-05-08,why can some ppl see the buy bottom for shiba and some do not? 
584,2021-05-08,i cannot buy shiba 
585,2021-05-08,"this is a sign that when things go crazy tonight with people wanting in or out of doge, people on crypto.com will not be able to do anything "
586,2021-05-08,guts what you think about doge? 
587,2021-05-08,here we go again. doge broke crypto.com again 
588,2021-05-08,why cannot we buy shabu ? it'a listed on the app but i cannot buy 
589,2021-05-08,"not doge, it is shiba "
590,2021-05-08,why is not the app working? hhs shabu token broken it? 
591,2021-05-08,shib 
592,2021-05-08,in pesto rico you still cannot buy shiba? 
593,2021-05-08,where are doge expertss. yeah doge to 10 dolar hahn 
594,2021-05-08,shabu dog broke the app... 
595,2021-05-08,acting shib cashed their server 
596,2021-05-08,because of shiba 
597,2021-05-08,because of shiba inr i guess app is down 
598,2021-05-08,blame shiba 
599,2021-05-08,you can buy shiba on crypto.com 
601,2021-05-08,is shiba available on the crypto.com app? 
602,2021-05-08,shiba inr 
603,2021-05-08,were you able to see the buy button ar some point for shiba? 
604,2021-05-08,i cannot wait till coinage carrier doge 
605,2021-05-08,how can doge break the app? 
606,2021-05-08,is it shiba the one who broke crypto.com 
607,2021-05-08,why is shiba inr not available for us resident ? 
608,2021-05-08,i bought some shiba 
609,2021-05-08,"can you buy shiba on crypto.com, cos i see it there but cannot purchase. "
610,2021-05-08,buy shib is available for me on my app n I am in us 
611,2021-05-08,did you listed shiba inu: the dogecoin killer? 
612,2021-05-08,yeah i bought shiba!!!! 
613,2021-05-08,i want buy shibaa 
615,2021-05-08,if you not buying shiba now you can miss something great 
616,2021-05-08,"i cannot buy shiba, but i can see it on the app "
617,2021-05-08,restart app to buy shiba 
618,2021-05-08,shiba is not available 
619,2021-05-08,please we want shiba 
620,2021-05-08,i have a lot of money and all over sudden when shib gers listed crypto.com locky me out of my own account 
